Datos del Osciloscopio Infinuum calculados con el VI de LabVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicion,1,,2,,3,,4,,5,,,,,,,,,,,,,,,,,,
Armonico,V,I,V,I,V,I,V,I,V,I,,Promedio,,,,,,,,,,Frecuencia fundamental (Hz),60.001,60.001,60.001,60.001,60.001
1,1.332,10.662,1.302,10.675,1.365,10.683,1.287,10.679,1.291,10.687,,1.3154,10.6772,,,,,,,,,Vrms (V),120.184,120.263,120.244,120.214,120.245
2,169.954,8.913,170.069,8.922,170.013,8.925,169.987,8.924,170.04,8.922,,170.0126,8.9212,,,,,,,,,Irms (A),14.946,14.7,15.677,14.012,14.174
3,0.14,2.26,0.11,2.262,0.168,2.262,0.169,2.263,0.11,2.263,,0.1394,2.262,,,,,,,,,Desfase (grados),,,,,
4,0.234,0.995,0.223,0.996,0.247,0.997,0.25,0.998,0.22,0.997,,0.2348,0.9966,,,,,,,,,THD I %,35.464,35.452,35.441,35.461,35.473
5,0.021,0.666,0.018,0.665,0.014,0.665,0.012,0.665,0.016,0.665,,0.0162,0.6652,,,,,,,,,THD V %,0.681,0.679,0.685,0.687,0.68
6,0.18,0.634,0.182,0.633,0.188,0.634,0.183,0.633,0.182,0.633,,0.183,0.6334,,,,,,,,,Potencia aparente (VA),1512.705,1515.762,1516.167,1515.118,1516.131
7,0.01,0.655,0.006,0.655,0.014,0.654,0.006,0.655,0.008,0.654,,0.0088,0.6546,,,,,,,,,Potencia activa (W),1512.631,1515.691,1516.086,1515.054,-1516.065
8,0.198,0.645,0.201,0.645,0.193,0.645,0.202,0.645,0.199,0.645,,0.1986,0.645,,,,,,,,,Potencia reactiva (VAR),310.302,303.891,315.299,309.382,-54.24
9,0.006,0.557,0.008,0.557,0.005,0.558,0.011,0.557,0.007,0.557,,0.0074,0.5572,,,,,,,,,Factor de potencia,0.01,0.01,0.01,0.009,0.009
10,0.185,0.54,0.188,0.539,0.187,0.538,0.187,0.539,0.187,0.539,,0.1868,0.539,,,,,,,,,Energia (W/h),,,,,
11,0.006,0.544,0.005,0.545,0.003,0.544,0.005,0.544,0.007,0.545,,0.0052,0.5444,,,,,,,,,,12.587,12.604,12.609,12.603,12.609
12,0.167,0.558,0.169,0.557,0.169,0.557,0.172,0.558,0.167,0.558,,0.1688,0.5576,,,,,,,,,,5.979,5.881,6.271,5.606,5.67
13,0.051,0.607,0.051,0.608,0.048,0.607,0.05,0.608,0.047,0.609,,0.0494,0.6078,,,,,,,,,,,,,,
14,0.141,0.509,0.146,0.511,0.145,0.511,0.144,0.512,0.148,0.514,,0.1448,0.5114,,,,,,,,,,,,,,
15,0.031,0.387,0.034,0.388,0.03,0.388,0.032,0.389,0.034,0.39,,0.0322,0.3884,,,,,,,,,,,,,,
16,0.222,0.275,0.219,0.278,0.223,0.277,0.219,0.279,0.222,0.28,,0.221,0.2778,,,,,,,,,,,,,,
17,0.007,0.16,0.004,0.161,0.005,0.162,0.007,0.162,0.004,0.162,,0.0054,0.1614,,,,,,,,,,,,,,
18,0.284,0.127,0.282,0.127,0.282,0.127,0.284,0.128,0.281,0.128,,0.2826,0.1274,,,,,,,,,,,,,,
19,0.012,0.15,0.015,0.148,0.013,0.148,0.016,0.149,0.017,0.149,,0.0146,0.1488,,,,,,,,,,,,,,
20,0.314,0.126,0.312,0.125,0.311,0.126,0.313,0.126,0.313,0.126,,0.3126,0.1258,,,,,,,,,,,,,,
21,0.023,0.123,0.021,0.12,0.02,0.121,0.025,0.12,0.023,0.12,,0.0224,0.1208,,,,,,,,,,,,,,
22,0.387,0.111,0.386,0.11,0.387,0.11,0.385,0.11,0.388,0.111,,0.3866,0.1104,,,,,,,,,,,,,,
23,0.029,0.093,0.027,0.093,0.032,0.093,0.026,0.093,0.03,0.094,,0.0288,0.0932,,,,,,,,,,,,,,
24,0.372,0.078,0.373,0.077,0.372,0.077,0.373,0.077,0.373,0.078,,0.3726,0.0774,,,,,,,,,,,,,,
25,0.035,0.05,0.031,0.05,0.033,0.05,0.03,0.05,0.029,0.051,,0.0316,0.0502,,,,,,,,,,,,,,
26,0.393,0.031,0.392,0.03,0.392,0.031,0.392,0.03,0.393,0.03,,0.3924,0.0304,,,,,,,,,,,,,,
27,0.035,0.027,0.036,0.025,0.034,0.025,0.037,0.025,0.037,0.025,,0.0358,0.0254,,,,,,,,,,,,,,
28,0.415,0.031,0.418,0.029,0.416,0.03,0.416,0.029,0.417,0.03,,0.4164,0.0298,,,,,,,,,,,,,,
29,0.04,0.037,0.038,0.036,0.039,0.035,0.038,0.035,0.037,0.035,,0.0384,0.0356,,,,,,,,,,,,,,
30,0.316,0.046,0.316,0.044,0.319,0.045,0.32,0.044,0.318,0.044,,0.3178,0.0446,,,,,,,,,,,,,,
31,0.035,0.039,0.037,0.039,0.035,0.039,0.038,0.038,0.036,0.037,,0.0362,0.0384,,,,,,,,,,,,,,
32,0.225,0.031,0.227,0.031,0.227,0.031,0.227,0.031,0.229,0.031,,0.227,0.031,,,,,,,,,,,,,,
33,0.021,0.031,0.021,0.032,0.02,0.031,0.022,0.03,0.02,0.031,,0.0208,0.031,,,,,,,,,,,,,,
34,0.152,0.029,0.154,0.029,0.153,0.029,0.153,0.029,0.154,0.029,,0.1532,0.029,,,,,,,,,,,,,,
35,0.029,0.031,0.033,0.031,0.027,0.031,0.033,0.031,0.031,0.031,,0.0306,0.031,,,,,,,,,,,,,,
36,0.119,0.029,0.118,0.029,0.116,0.029,0.119,0.029,0.119,0.029,,0.1182,0.029,,,,,,,,,,,,,,
37,0.016,0.028,0.013,0.027,0.016,0.027,0.013,0.027,0.016,0.028,,0.0148,0.0274,,,,,,,,,,,,,,
38,0.131,0.025,0.131,0.025,0.131,0.025,0.133,0.024,0.132,0.024,,0.1316,0.0246,,,,,,,,,,,,,,
39,0.026,0.026,0.024,0.025,0.027,0.025,0.024,0.025,0.024,0.025,,0.025,0.0252,,,,,,,,,,,,,,
40,0.118,0.029,0.119,0.028,0.12,0.028,0.119,0.028,0.12,0.028,,0.1192,0.0282,,,,,,,,,,,,,,
41,0.015,0.029,0.014,0.029,0.014,0.028,0.016,0.029,0.015,0.029,,0.0148,0.0288,,,,,,,,,,,,,,
42,0.111,0.026,0.109,0.026,0.11,0.025,0.109,0.026,0.109,0.026,,0.1096,0.0258,,,,,,,,,,,,,,
43,0.005,0.021,0.006,0.021,0.003,0.02,0.005,0.021,0.004,0.021,,0.0046,0.0208,,,,,,,,,,,,,,
44,0.092,0.018,0.092,0.019,0.091,0.018,0.092,0.019,0.093,0.019,,0.092,0.0186,,,,,,,,,,,,,,
45,0.008,0.016,0.009,0.016,0.006,0.016,0.008,0.015,0.009,0.016,,0.008,0.0158,,,,,,,,,,,,,,
46,0.069,0.016,0.071,0.015,0.07,0.015,0.07,0.015,0.07,0.016,,0.07,0.0154,,,,,,,,,,,,,,
47,0.004,0.012,0.005,0.013,0.004,0.012,0.005,0.013,0.004,0.013,,0.0044,0.0126,,,,,,,,,,,,,,
48,0.076,0.008,0.075,0.009,0.075,0.008,0.076,0.009,0.076,0.009,,0.0756,0.0086,,,,,,,,,,,,,,
49,0.015,0.004,0.016,0.005,0.015,0.005,0.015,0.005,0.015,0.005,,0.0152,0.0048,,,,,,,,,,,,,,
50,0.073,0.006,0.072,0.005,0.072,0.005,0.073,0.005,0.073,0.005,,0.0726,0.0052,,,,,,,,,,,,,,
51,0.001,0.005,0.001,0.005,0.003,0.003,0.001,0.005,0.002,0.006,,0.0016,0.0048,,,,,,,,,,,,,,
